ISIN,code
"DUMMY00015","FTI-FISTIPD3GPD"
"INF00XX01168","ITMCD1-GR"
"INF00XX01176","ITMCD2-DP"
"INF00XX01184","ITMCD2-DR"
"INF00XX01283","ITLFG1-GR"
"INF00XX01291","ITLFD1-DR"
"INF00XX01309","ITLFW1-DR"
"INF00XX01317","ITLFF1-DR"
"INF00XX01325","ITLFM1-DR"
"INF00XX01333","ITLFA1-DR"
"INF00XX01341","ITLFF1-DP"
"INF00XX01358","ITLFM1-DP"
"INF00XX01366","ITLFA1-DP"
"INF00XX01390","ITELG1-GR"
"INF00XX01408","ITELD1-DP"
"INF00XX01440","ITAFG1-GR"
"INF00XX01457","ITAFD1-DP"
"INF00XX01465","ITAFD1-DR"
"INF00XX01564","ITOFG1-GR"
"INF00XX01572","ITOFD1-DR"
"INF00XX01580","ITOFW1-DR"
"INF00XX01598","ITOFF1-DR"
"INF00XX01606","ITOFM1-DR"
"INF00XX01614","ITOFA1-DR"
"INF00XX01622","ITOFF1-DP"
"INF00XX01630","ITOFM1-DP"
"INF00XX01648","ITOFA1-DP"
"INF00XX01689","ITBFG1-GR"
"INF00XX01697","ITBFD1-DP"
"INF00XX01705","ITBFD1-DR"
"INF00XX01747","ITSCG1-GR"
"INF00XX01754","ITSCD1-DP"
"INF00XX01762","ITSCD1-DR"
"INF00XX01804","ITLCG1-GR"
"INF00XX01812","ITLCD1-DP"
"INF00XX01820","ITLCD1-DR"
"INF00XX01861","ITBSG1-GR"
"INF00XX01879","ITBSD1-DP"
"INF00XX01887","ITBSD1-DR"
"INF00XX01929","ITMDG1-GR"
"INF00XX01937","ITMDD1-DP"
"INF00XX01945","ITMDD1-DR"
"INF00XX01AE2","ITUSG1-GR"
"INF00XX01AF9","ITUSD1-DR"
"INF00XX01AG7","ITUSW1-DR"
"INF00XX01AH5","ITUSF1-DR"
"INF00XX01AI3","ITUSM1-DR"
"INF00XX01AJ1","ITUSA1-DR"
"INF00XX01AK9","ITUSF1-DP"
"INF00XX01AL7","ITUSM1-DP"
"INF00XX01AM5","ITUSA1-DP"
"INF00XX01AQ6","ITVFG1-GR"
"INF00XX01AR4","ITVFD1-DP"
"INF00XX01AS2","ITVFD1-DR"
"INF00XX01BC4","ITDBG1-GR"
"INF00XX01BD2","ITDBM1-DR"
"INF00XX01BE0","ITDBQ1-DR"
"INF00XX01BF7","ITDBH1-DR"
"INF00XX01BG5","ITDBA1-DR"
"INF00XX01BH3","ITDBM1-DP"
"INF00XX01BI1","ITDBQ1-DP"
"INF00XX01BJ9","ITDBH1-DP"
"INF00XX01BK7","ITDBA1-DP"
"INF00XX01BO9","ITPHG1-GR"
"INF00XX01BP6","ITPHD1-DP"
"INF00XX01BQ4","ITPHD1-DR"
"INF00XX01BU6","ITBAG1-GR"
"INF00XX01BV4","ITBAD1-DP"
"INF00XX01BW2","ITBAD1-DR"
"INF00XX01CE8","ITCHG1-GR"
"INF00XX01CF5","ITCHQ1-DR"
"INF00XX01CG3","ITCHQ1-DP"
"INF00XX01CH1","ITCHH1-DR"
"INF00XX01CI9","ITCHH1-DP"
"INF00XX01CJ7","ITCHA1-DR"
"INF00XX01CK5","ITCHA1-DP"
"INF00XX01CO7","ITFCG1-GR"
"INF00XX01CP4","ITFCD1-DP"
"INF00XX01CQ2","ITFCD1-DR"
"INF03VN01019","YELDDD-DR"
"INF03VN01027","YELFDDP-DP"
"INF03VN01035","YELFDD-DR"
"INF03VN01043","YELGD-GR"
"INF03VN01050","YELMDDP-DP"
"INF03VN01068","YELMDD-DR"
"INF03VN01076","YELWDDP-DP"
"INF03VN01084","YELWDD-DR"
"INF03VN01175","YE1010-DR"
"INF03VN01183","YE1014-DP"
"INF03VN01191","YE1013-DR"
"INF03VN01209","YE1009-GR"
"INF03VN01217","YE1016-DP"
"INF03VN01225","YE1015-DR"
"INF03VN01233","YE1012-DP"
"INF03VN01241","YE1011-DR"
"INF03VN01530","YE1038-GR"
"INF03VN01548","YE1039-DR"
"INF03VN01555","YE1040-DP"
"INF03VN01597","YED101G-GR"
"INF03VN01605","YED101P-DP"
"INF03VN01613","YED101D-DR"
"INF03VN01621","YED102G-GR"
"INF03VN01639","YED102D-DP"
"INF03VN01696","YED103G-GR"
"INF03VN01704","YED103P-DP"
"INF03VN01712","YED103D-DR"
"INF03VN01738","YED104G-GR"
"INF044D01BU9","TRSSG1-GR"
"INF044D01BV7","TRSSD1-DP"
"INF044D01BW5","TRSSD1-DR"
"INF044D01BX3","TRBEG1-GR"
"INF044D01BY1","TRBED1-DP"
"INF044D01BZ8","TRBED1-DR"
"INF044D01CA9","TRDSG1-GR"
"INF044D01CB7","TRDSD1-DP"
"INF044D01CC5","TRDSD1-DR"
"INF044D01CD3","TRITG1-GR"
"INF044D01CE1","TRITD1-DP"
"INF044D01CF8","TRITD1-DR"
"INF044D01CG6","TRLTG1-GR"
"INF044D01CH4","TRLTD1-DP"
"INF044D01CJ0","TREFG1-GR"
"INF044D01CK8","TREFD1-DP"
"INF044D01CL6","TREFD1-DR"
"INF044D01CN2","TRTBG1-GR"
"INF044D01CO0","TRTBD1-DP"
"INF044D01CP7","TRTBD1-DR"
"INF044D01CQ5","TRNIG1-GR"
"INF044D01CR3","TRNID1-DP"
"INF044D01CS1","TRNID1-DR"
"INF082J01036","QMFEF-GP"
"INF082J01044","QMFEF-DP"
"INF082J01051","QMFEF-DR"
"INF082J01069","QMFTS-GR"
"INF082J01077","QMFTS-DP"
"INF082J01093","QMFFE-GR"
"INF082J01101","QMFFE-DP"
"INF082J01119","QMFFE-DR"
"INF082J01127","QMFLFGPG-GR"
"INF082J01135","QMFLFDDR-DR-D"
"INF082J01143","QMFLFMDP-DP-M"
"INF082J01150","QMFQSGP-GR"
"INF082J01168","QMFMA-GR"
"INF082J01176","QDBGP-GR"
"INF082J01184","QDBMD-DP"
"INF082J01192","QDBMD-DR"
"INF082J01200","QTLFMD-DR"
"INF082J01382","QTESGP-GR"
"INF082J01416","QTNFGP-GR"
"INF084M01DJ5","BSD105-GR"
"INF084M01DL1","BSD106-DP"
"INF084M01DL1","BSD106-DR"
"INF084M01DM9","BSD1006-GR"
"INF084M01DN7","BS1005A-DP"
"INF084M01DN7","BS1005A-DR"
"INF084M01DO5","BS103Z-DP"
"INF084M01DO5","BS103Z-DR"
"INF084M01DP2","BS104Y-GR"
"INF084M01DR8","BS104Z-DP"
"INF084M01DR8","BS104Z-DR"
"INF084M01EB0","BSD1050-GR"
"INF084M01EC8","BS1049A-DP"
"INF084M01EC8","BS1049A-DR"
"INF084M01EH7","BSD374-GR"
"INF084M01EI5","BSD373P-DP"
"INF084M01EI5","BSD373P-DR"
"INF084M01EQ8","BSD1054-GR"
"INF084M01ES4","BSD1055-DP"
"INF084M01ES4","BSD1055-DR"
"INF084M01ET2","BSD1057-GR"
"INF084M01EU0","BSD1059-DP"
"INF084M01EU0","BSD1059-DR"
"INF084M01EW6","BSD1060-GR"
"INF084M01EX4","BSD1062-DP"
"INF084M01EY2","BSD1061-DR"
"INF090I01FE6","413-GR"
"INF090I01FG1","414-DP"
"INF090I01FG1","414-DR"
"INF090I01FH9","417-GR"
"INF090I01FJ5","601-DP"
"INF090I01FJ5","601-DR"
"INF090I01FK3","418-GR"
"INF090I01FM9","602-DP"
"INF090I01FM9","602-DR"
"INF090I01FN7","419-GR"
"INF090I01FP2","606-DP"
"INF090I01FP2","606-DR"
"INF090I01FR8","420-DP"
"INF090I01FR8","420-DR"
"INF090I01FT4","421-DP"
"INF090I01FT4","421-DR"
"INF090I01FV0","422-DP"
"INF090I01FV0","422-DR"
"INF090I01FW8","612-GR"
"INF090I01FY4","613-DP"
"INF090I01FY4","613-DR"
"INF090I01FZ1","423-GR"
"INF090I01GB0","424-DP"
"INF090I01GB0","424-DR"
"INF090I01GC8","425-GR"
"INF090I01GE4","426-DP"
"INF090I01GE4","426-DR"
"INF090I01GF1","433-GR"
"INF090I01GH7","434-DP"
"INF090I01GH7","434-DR"
"INF090I01GJ3","435-DP"
"INF090I01GJ3","435-DR"
"INF090I01GK1","436-GR"
"INF090I01GL9","437-DP"
"INF090I01GM7","437-DR"
"INF090I01GN5","438-DP"
"INF090I01GO3","438-DR"
"INF090I01GP0","439-DR"
"INF090I01GR6","440-DP"
"INF090I01GR6","440-DR"
"INF090I01GS4","463-GR"
"INF090I01GU0","441-DP"
"INF090I01GU0","441-DR"
"INF090I01GV8","451-GR"
"INF090I01GX4","442-DP"
"INF090I01GX4","442-DR"
"INF090I01GY2","452-GR"
"INF090I01HR4","470-DP"
"INF090I01HR4","470-DR"
"INF090I01HS2","471-GR"
"INF090I01HU8","453-DP"
"INF090I01HU8","453-DR"
"INF090I01HV6","454-GR"
"INF090I01IM3","472-DP"
"INF090I01IM3","472-DR"
"INF090I01IN1","473-GR"
"INF090I01IP6","477-DP"
"INF090I01IP6","477-DR"
"INF090I01IQ4","478-GR"
"INF090I01IS0","479-DP"
"INF090I01IS0","479-DR"
"INF090I01IT8","480-GR"
"INF090I01IV4","481-DP"
"INF090I01IV4","481-DR"
"INF090I01IW2","482-GR"
"INF090I01IY8","483-DP"
"INF090I01IY8","483-DR"
"INF090I01IZ5","484-GR"
"INF090I01JE8","488-DP"
"INF090I01JE8","488-DR"
"INF090I01JF5","489-GR"
"INF090I01JJ7","493-DP"
"INF090I01JK5","493-DR"
"INF090I01JL3","494-GR"
"INF090I01JQ2","FR495-DP"
"INF090I01JQ2","FR495-DR"
"INF090I01JR0","FR496-GR"
"INF090I01JS8","FR415-GR"
"INF090I01JT6","FR416-DP"
"INF090I01JU4","F415-DR"
"INF090I01JV2","FR474-GR"
"INF090I01JW0","FR475-DR"
"INF090I01JY6","FR476-DP"
"INF090I01JY6","FR476-DR"
"INF090I01JZ3","FR610-GR"
"INF090I01KB2","FR611-DP"
"INF090I01KB2","FR611-DR"
"INF090I01KN7","FR624-DR"
"INF090I01KR8","FR704-GR"
"INF090I01KT4","FR703-DP"
"INF090I01KT4","FR703-DR"
"INF090I01KX6","FT708-GR"
"INF090I01KZ1","FT707-DP"
"INF090I01KZ1","FT707-DR"
"INF090I01LD6","FR710-DP"
"INF090I01LD6","FR710-DR"
"INF090I01LH7","FT617-GR"
"INF090I01LJ3","FT616-DP"
"INF090I01LJ3","FT616-DR"
"INF090I01LK1","FR498-GR"
"INF090I01LL9","FR497-DR"
"INF090I01PB1","FR779-DP"
"INF090I01PB1","FR779-DR"
"INF090I01PD7","FR780-GR"
"INF090I01PG0","FR782-DP"
"INF090I01PG0","FR782-DR"
"INF090I01PK2","FR784-DP"
"INF090I01PK2","FR784-DR"
"INF090I01SQ3","FR868-DP"
"INF090I01SQ3","FR868-DR"
"INF090I01SS9","FR866-GR"
"INF090I01ST7","FR865-DR"
"INF090I01WQ5","FR972-GR"
"INF090I01WS1","FR973-DP"
"INF090I01WS1","FR973-DR"
"INF0GCD01107","TSBFDG-GR"
"INF0GCD01115","TSBFDD-DR"
"INF0GCD01123","TSBFDW-DR"
"INF0GCD01131","TSBFDM-DR"
"INF0GCD01149","TSBFDM-DP"
"INF0GCD01156","TSBFDQ-DR"
"INF0GCD01164","TSBFDQ-DP"
"INF0GCD01172","TSBFDA-DR"
"INF0GCD01180","TSBFDA-DP"
"INF0GCD01255","TSLFDG-GR"
"INF0GCD01263","TSLFDD-DR"
"INF0GCD01271","TSLFDW-DP"
"INF0GCD01289","TSLFDW-DR"
"INF0GCD01297","TSLFDM-DR"
"INF0GCD01305","TSLFDM-DP"
"INF0GCD01370","TSSTDG-GR"
"INF0GCD01388","TSSTDW-DR"
"INF0GCD01396","TSSTDM-DP"
"INF0GCD01404","TSSTDM-DR"
"INF0GCD01412","TSSTDQ-DP"
"INF0GCD01420","TSSTDQ-DR"
"INF0GCD01453","TSOFDG-GR"
"INF0GCD01461","TSOFDD-DR"
"INF0GCD01503","TRMMDG-GR"
"INF0GCD01511","TRMMDM-DR"
"INF0GCD01529","TRMMDM-DP"
"INF0GCD01560","TSCBGP-GR"
"INF0GCD01578","TSCBDM-DR"
"INF0GCD01586","TSCBDM-DP"
"INF0J8L01032","NJBADD-DP"
"INF0J8L01040","NJBADG-GR"
"INF0J8L01065","NJAFDG-GR"
"INF0J8L01081","NJOVDG-GR"
"INF0K1H01024","SAFCDG-GR"
"INF0K1H01040","SAONDG-GR"
"INF0K1H01065","SAELDG-GR"
"INF109K010A6","8104-GR"
"INF109K010F5","8010-DP"
"INF109K010F5","8010-DR"
"INF109K010K5","8175-DP"
"INF109K010K5","8175-DR"
"INF109K010N9","8181-DP"
"INF109K010N9","8181-DR"
"INF109K010O7","8003-DP"
"INF109K010O7","8003-DR"
"INF109K011B2","8179-DP"
"INF109K011B2","8179-DR"
"INF109K011M9","8140-DP"
"INF109K011M9","8140-DR"
"INF109K011N7","8182-GR"
"INF109K011O5","8002-GR"
"INF109K012A2","8132-DP"
"INF109K012A2","8132-DR"
"INF109K012B0","8180-GR"
"INF109K012C8","8083-DP"
"INF109K012C8","8083-DR"
"INF109K012J3","8045-DP"
"INF109K012J3","8045-DR"
"INF109K012K1","8176-GR"
