Scheme Code;ISIN Div Payout/ ISIN Growth;ISIN Div Reinvestment;Scheme Name;Net Asset Value;Date
119551;INF209KA12Z1;INF209KA13Z9;Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW;106.7038;30-Aug-2022
119552;INF209K01YM2;-;Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW;113.5633;30-Aug-2022
119553;INF209K01YO8;-;Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW;111.8;30-Aug-2022
108272;INF209K01LX6;INF209KA11Z3;Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW;160.1757;30-Aug-2022
110282;INF209K01LU2;-;Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW;110.5814;30-Aug-2022
108274;INF209K01LN7;-;Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW;108.9722;30-Aug-2022
110490;INF209K01LR8;-;Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW;110.4409;30-Aug-2022
106157;INF209K01LS6;-;Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW;111.7438;30-Aug-2022
108273;INF209K01LV0;-;Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth;299.6176;30-Aug-2022
103176;INF209K01LT4;-;Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth;449.7643;30-Aug-2022
119550;INF209K01YN0;-;Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth;307.9556;30-Aug-2022
128952;INF846K01NF8;-;Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option;1532.8272;14-Jun-2017
120437;-;INF846K01CU0;Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW;1039.1310;30-Aug-2022
120438;INF846K01CR6;-;Axis Banking & PSU Debt Fund - Direct Plan - Growth Option;2219.1816;30-Aug-2022
120439;INF846K01CT2;INF846K01CS4;Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW;1033.6340;30-Aug-2022
120436;INF846K01CV8;INF846K01CW6;Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW;1038.3954;30-Aug-2022
128953;INF846K01NG6;-;Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option;1289.4075;18-May-2015
117447;-;INF846K01CC8;Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW;1039.1303;30-Aug-2022
117446;INF846K01CB0;-;Axis Banking & PSU Debt Fund - Regular Plan - Growth option;2169.5400;30-Aug-2022
117449;INF846K01CF1;INF846K01CG9;Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW;1033.5843;30-Aug-2022
117448;INF846K01CD6;INF846K01CE4;Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW;1038.3847;30-Aug-2022
148629;INF955L01KF1;INF955L01KG9;Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option;10.1094;30-Aug-2022
148628;INF955L01KC8;-;Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option;10.4712;30-Aug-2022
148630;INF955L01KD6;INF955L01KE4;Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option;10.0063;30-Aug-2022
148625;INF955L01JX6;-;Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option;10.3973;30-Aug-2022
148626;INF955L01KA2;INF955L01KB0;Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option;10.1066;30-Aug-2022
